symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ILRUN	0.23683231622829315	No data	0.38865928058675714	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0.7483199999999997	No data	-0.9634859349145063	-0.8795876281934825	0	No data	No data	No data	0.5	-1
C8orf33	0.23682818043525095	No data	0.3895643737176637	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	0.6465526751241037	No data	0	No data	No data	No data	-1	-1
SMAP1	0.23655782249525986	No data	0.38911965543549537	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.35760000000000003	No data	-0.6991726420297849	-0.6512769802616875	0	No data	No data	0	-1	-1
KCNH7	0.23553623156009088	No data	0.3857010172597296	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.034763973199624355	No data	1	1	0	0	0	0	0.7198999999999998	No data	-0.690457804743519	No data	0	No data	No data	0	0.5	0.5
HELZ2	0.2353385141336426	No data	0.38559415877247183	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	0.042912300055157226	-0.8066105906506837	0	No data	No data	0	-1	0
UCP1	0.23491285490931849	No data	0.3833741546760548	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	0	0	0	0	0	0	No data	0.4420297848869277	-0.839514781723519	0	No data	No data	0	0.5	1
DOK6	0.23447952706232106	No data	0.3857010172597296	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9848950000000002	No data	-0.4451185879757308	No data	0	No data	No data	-0.12386750000000006	0.5	0
SDK1	0.23402589053838752	No data	0.3849548196238873	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.48712000000000016	No data	-0.33491450634307773	-0.3074028175658705	0	No data	No data	0	0.5	0
CFAP77	0.23378846546894858	No data	0.3845642734130822	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.3838050000000003	No data	0.21963596249310524	No data	0	No data	No data	No data	0.75	0.5
ZPBP2	0.2337256640649438	No data	0.3800916413035118	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08738657137375903	No data	No data	No data	0	0	0	0	0	0	No data	0.42581356867071163	0	0	No data	No data	0	1	1
ERBB2	0.23241219838401908	No data	0.22657858379313933	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	0.9288757758212166	0.08389519210946178	No data	1	1	0	1	1	1	0.38247	1	-0.6678433535576394	-0.9660855487877462	0	255	No data	0	-1	-1
TUBA3C	0.23151708869126753	No data	0.38082803108648083	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.07644787644787643	0	0	No data	No data	-1	1	1
MTMR3	0.23122321841829616	No data	0.37347586313724296	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13737547329362604	No data	No data	No data	0	0	0	0	0	0.37395500000000015	No data	-0.8843905129619415	-0.23926348447979723	0	No data	No data	0	0.5	-1
LRRC32	0.23095677529880956	No data	0.3763925282612572	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05506333199367259	0.03422984585762444	No data	No data	0	0	0	0	0	0	No data	-0.4317705460562603	-0.5301715868316481	0	No data	No data	0	-1	-1
SLC1A1	0.23092835615788762	No data	0.37575252470798154	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06839221473130737	0.03093638979651163	No data	No data	1	0	1	1	0	0.5038150000000001	No data	0.136900165471594	-0.2955739410184277	0	No data	No data	0	0.5	0
TSPAN4	0.23017082818897672	No data	0.37861353478594817	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.6848750000000002	No data	0.7495863210148925	No data	0	No data	No data	0	-1	-1
TMEM132D	0.2297890271773312	No data	0.3779855011131264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.15377500000000027	No data	-0.6884721456150027	No data	0	No data	No data	-0.017287499999999945	1	1
IL27	0.22836011818972482	No data	0.3641384549777296	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2299319870455164	No data	No data	No data	0	1	0	0	0	0	No data	-0.4328736900165472	-0.551606756503793	0	No data	No data	No data	1	0.5
IRX2	0.22800185211446258	No data	0.36641318713395143	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17265093413003996	No data	No data	0	0	0	0	0	0.6072200000000002	No data	0.5167126309983452	No data	0	No data	No data	0	0.5	0
CPEB4	0.2261114043626004	No data	0.36255117138948917	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1641413153551377	0.05300341555300176	No data	No data	0	0	0	0	0	0.8010950000000001	No data	-0.8971869829012686	-0.8592980471395367	0	No data	No data	0	-1	-1
SLC9A4	0.22610373286808294	No data	0.3708325552467108	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021818331270598477	No data	No data	1	0	0	0	0	0.1666649999999997	No data	0.17253171538885814	-0.2262502762772728	0	No data	No data	0	1	0.5
PHACTR3	0.22428336918265562	No data	0.36822286043697855	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01412502673190517	No data	No data	0	0	0	0	0	0.436495	No data	-0.8846111417539989	No data	0	No data	No data	0	0.75	0
